trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,fixation.started,key_resp.started,fixation.stopped,key_resp.keys,key_resp.corr,key_resp.rt,tilt,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,14.713196199852973,15.729627799941227,15.73459509992972,down,0,11.637124700006098,0,777954,001,2022-09-14_15h24.04.850,Tilt exp trial,2022.2.4,60.11269933508886,
1,0,1,0,27.434046200010926,28.42962080007419,28.44618449988775,up,0,1.010656600119546,1,777954,001,2022-09-14_15h24.04.850,Tilt exp trial,2022.2.4,60.11269933508886,
2,0,2,0,29.46265670005232,30.462121000047773,30.462121000047773,up,1,0.795358800329268,0,777954,001,2022-09-14_15h24.04.850,Tilt exp trial,2022.2.4,60.11269933508886,
3,0,3,0,31.278351499931887,32.27809159993194,32.27809159993194,down,1,0.6489271002355963,-3,777954,001,2022-09-14_15h24.04.850,Tilt exp trial,2022.2.4,60.11269933508886,
4,0,4,0,32.94453989993781,33.94444920006208,33.94444920006208,up,1,0.916191500145942,0,777954,001,2022-09-14_15h24.04.850,Tilt exp trial,2022.2.4,60.11269933508886,
5,0,5,0,34.877289899857715,35.87692559999414,35.87692559999414,down,1,1.040827500168234,-3,777954,001,2022-09-14_15h24.04.850,Tilt exp trial,2022.2.4,60.11269933508886,
6,0,6,0,36.950005599996075,37.94305479992181,37.959861000068486,up,1,0.8457532001193613,0,777954,001,2022-09-14_15h24.04.850,Tilt exp trial,2022.2.4,60.11269933508886,
7,0,7,0,38.80928359995596,39.80873339995742,39.80873339995742,up,1,0.8527148000430316,0,777954,001,2022-09-14_15h24.04.850,Tilt exp trial,2022.2.4,60.11269933508886,
8,0,8,0,40.69192310003564,41.69169189990498,41.69169189990498,up,1,0.8661763002164662,0,777954,001,2022-09-14_15h24.04.850,Tilt exp trial,2022.2.4,60.11269933508886,
9,0,9,0,42.574560599867254,43.57435250002891,43.57435250002891,up,1,0.9116092000622302,0,777954,001,2022-09-14_15h24.04.850,Tilt exp trial,2022.2.4,60.11269933508886,
10,0,10,0,44.507310499902815,45.5071948999539,45.5071948999539,up,1,0.8295325001236051,0,777954,001,2022-09-14_15h24.04.850,Tilt exp trial,2022.2.4,60.11269933508886,
11,0,11,0,46.356751299928874,47.35661479993723,47.35661479993723,down,1,0.4477357000578195,-3,777954,001,2022-09-14_15h24.04.850,Tilt exp trial,2022.2.4,60.11269933508886,
12,0,12,0,47.8226721000392,48.822676199954,48.822676199954,up,0,0.9274659000802785,-1,777954,001,2022-09-14_15h24.04.850,Tilt exp trial,2022.2.4,60.11269933508886,
13,0,13,0,49.772131900070235,50.7718819999136,50.7718819999136,down,0,1.3286531001795083,0,777954,001,2022-09-14_15h24.04.850,Tilt exp trial,2022.2.4,60.11269933508886,
