3.1620 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
9.0559 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1920, 1080]. Using actual size
11.1200 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001BC8B6A0D90>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x000001BC8E6AE910>, multiSample=False, name='window1', numSamples=2, pos=(0, 0), screen=0, size=array([1920, 1080]), stencilBits=0, stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
11.1201 	EXP 	window1: mouseVisible = True
11.1203 	EXP 	window1: mouseVisible = False
11.1204 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
11.1205 	EXP 	window1: recordFrameIntervals = False
11.2854 	EXP 	window1: recordFrameIntervals = True
11.4688 	EXP 	Screen (0) actual frame rate measured at 60.11Hz
11.4689 	EXP 	window1: recordFrameIntervals = False
14.6775 	EXP 	Created fixation = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=0.0, fillColor=array([1, 1, 1]), fillColorSpace='rgb', fillRGB=array([1, 1, 1]), interpolate=True, lineColor=array([1, 1, 1]), lineColorSpace='rgb', lineRGB=array([1, 1, 1]), lineWidth=1.0, name='fixation', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([10., 10.]), units='pix', vertices=ndarray(...), win=Window(...), windingRule=None)
14.6958 	EXP 	Created grating = GratingStim(__class__=<class 'psychopy.visual.grating.GratingStim'>, anchor='center', autoDraw=False, autoLog=True, blendmode='avg', color=array([0.3, 0.3, 0.3]), colorSpace='rgb', contrast=0.3, depth=-1.0, interpolate=True, mask='gauss', maskParams=None, name='grating', opacity=1.0, ori=1.0, phase=array([0., 0.]), pos=array([0., 0.]), rgbPedestal=array([0., 0., 0.]), sf=array([5., 5.]), size=array([0.2, 0.2]), tex='sin', texRes=128.0, units='height', win=Window(...))
14.6989 	EXP 	Created sequence: random, trialTypes=1, nReps=100, seed=None
14.6994 	EXP 	New trial (rep=0, index=0): None
14.7132 	EXP 	grating: ori = 0.0
14.7132 	EXP 	fixation: autoDraw = True
15.7266 	DATA 	Keypress: up
15.7296 	EXP 	grating: autoDraw = True
15.7296 	EXP 	grating: tex = 'sin'
15.7346 	EXP 	fixation: autoDraw = False
16.0336 	EXP 	grating: autoDraw = False
27.4290 	EXP 	New trial (rep=1, index=0): None
